Name,HeightCm
"Bush, George Sr",188
"Clinton, Bill",188
"Kennedy, John F.",185
"Lincoln, Abraham",193
"Obama, Barack",185
"Carter, Jimmy",177
"Obama, Barack",185
"Obama, Barack",185
"Adams, John",170
"Nixon, Richard",182
"Coolidge, Calvin",178
"Obama, Barack",185
"Lincoln, Abraham",193
"Garfield, James",183
"Obama, Barack",185
"Ford, Gerald",
"Van Buren, Martin",168
"Adams, John",170
"Van Buren, Martin",168
"Roosevelt, Teddy",178
"Obama, Barack",185
"Kennedy, John F.",185
"Adams, John",170
"Roosevelt, Teddy",178
"Obama, Barack",185
"Harrison, William",173
"Eisenhower, Dwight",179
"Bush, George W",182
"Johnson, Lyndon",192
"Kennedy, John F.",185
"Trump, Donald",191
"Eisenhower, Dwight",179
"Carter, Jimmy",177
"Washington, George",188
"Lincoln, Abraham",193
"Washington, George",188
"Wilson, Woodrow",180
"Washington, George",188
"Obama, Barack",185
"Lincoln, Abraham",193
"Eisenhower, Dwight",179
"Nixon, Richard",182
"Buchanan, James",183
"Jackson, Andrew",185
"Lincoln, Abraham",193
"Taft, William Howard",182
"Garfield, James",183
"Jefferson, Thomas",189
"Lincoln, Abraham",193
"Adams, John ",170
"Truman, Harry",175
