"","Year","Block","Community","FertilizerTreatment","TotalSppNum","NCSppNum","ClonSppNum"
"1",2005,1,"mixed","CO",26,20,6
"2",2005,2,"mixed","CO",36,29,7
"3",2005,3,"mixed","CO",22,16,6
"4",2005,4,"mixed","CO",20,15,5
"5",2005,5,"mixed","CO",18,13,5
"6",2005,6,"mixed","CO",28,21,7
"7",2005,7,"mixed","CO",30,24,6
"8",2005,8,"mixed","CO",21,17,4
"9",2005,1,"mixed","LP",22,17,5
"10",2005,2,"mixed","LP",24,19,5
"11",2005,3,"mixed","LP",20,14,6
"12",2005,4,"mixed","LP",23,16,7
"13",2005,5,"mixed","LP",25,18,7
"14",2005,6,"mixed","LP",28,23,5
"15",2005,7,"mixed","LP",23,20,3
"16",2005,8,"mixed","LP",22,16,6
"17",2005,1,"mixed","SP",18,12,6
"18",2005,2,"mixed","SP",29,23,6
"19",2005,3,"mixed","SP",19,13,6
"20",2005,4,"mixed","SP",19,12,7
"21",2005,5,"mixed","SP",20,15,5
"22",2005,6,"mixed","SP",27,21,6
"23",2005,7,"mixed","SP",28,24,4
"24",2005,8,"mixed","SP",22,16,6
"25",2005,1,"mixed","UN",32,26,6
"26",2005,2,"mixed","UN",27,22,5
"27",2005,3,"mixed","UN",20,14,6
"28",2005,4,"mixed","UN",24,17,7
"29",2005,5,"mixed","UN",23,17,6
"30",2005,6,"mixed","UN",27,19,8
"31",2005,7,"mixed","UN",25,19,6
"32",2005,8,"mixed","UN",21,15,6
"33",2005,1,"non-clonal only","CO",23,20,3
"34",2005,2,"non-clonal only","CO",32,26,6
"35",2005,3,"non-clonal only","CO",24,22,2
"36",2005,4,"non-clonal only","CO",25,21,4
"37",2005,5,"non-clonal only","CO",19,17,2
"38",2005,6,"non-clonal only","CO",28,24,4
"39",2005,7,"non-clonal only","CO",21,19,2
"40",2005,8,"non-clonal only","CO",18,15,3
"41",2005,1,"non-clonal only","LP",19,17,2
"42",2005,2,"non-clonal only","LP",29,23,6
"43",2005,3,"non-clonal only","LP",27,23,4
"44",2005,4,"non-clonal only","LP",17,14,3
"45",2005,5,"non-clonal only","LP",27,24,3
"46",2005,6,"non-clonal only","LP",30,25,5
"47",2005,7,"non-clonal only","LP",24,22,2
"48",2005,8,"non-clonal only","LP",22,18,4
"49",2005,1,"non-clonal only","SP",25,22,3
"50",2005,2,"non-clonal only","SP",23,22,1
"51",2005,3,"non-clonal only","SP",21,16,5
"52",2005,4,"non-clonal only","SP",33,28,5
"53",2005,5,"non-clonal only","SP",18,16,2
"54",2005,6,"non-clonal only","SP",18,15,3
"55",2005,7,"non-clonal only","SP",27,25,2
"56",2005,8,"non-clonal only","SP",20,17,3
"57",2005,1,"non-clonal only","UN",29,26,3
"58",2005,2,"non-clonal only","UN",20,18,2
"59",2005,3,"non-clonal only","UN",21,16,5
"60",2005,4,"non-clonal only","UN",23,18,5
"61",2005,5,"non-clonal only","UN",22,19,3
"62",2005,6,"non-clonal only","UN",24,20,4
"63",2005,7,"non-clonal only","UN",14,13,1
"64",2005,8,"non-clonal only","UN",25,20,5
"65",2006,1,"mixed","CO",28,23,5
"66",2006,2,"mixed","CO",28,22,6
"67",2006,3,"mixed","CO",22,17,5
"68",2006,4,"mixed","CO",22,16,6
"69",2006,5,"mixed","CO",21,17,4
"70",2006,6,"mixed","CO",33,27,6
"71",2006,7,"mixed","CO",29,24,5
"72",2006,8,"mixed","CO",19,15,4
"73",2006,1,"mixed","LP",20,15,5
"74",2006,2,"mixed","LP",23,18,5
"75",2006,3,"mixed","LP",31,24,7
"76",2006,4,"mixed","LP",38,30,8
"77",2006,5,"mixed","LP",30,23,7
"78",2006,6,"mixed","LP",36,30,6
"79",2006,7,"mixed","LP",24,21,3
"80",2006,8,"mixed","LP",26,21,5
"81",2006,1,"mixed","SP",17,11,6
"82",2006,2,"mixed","SP",25,20,5
"83",2006,3,"mixed","SP",18,11,7
"84",2006,4,"mixed","SP",24,18,6
"85",2006,5,"mixed","SP",29,22,7
"86",2006,6,"mixed","SP",26,20,6
"87",2006,7,"mixed","SP",23,19,4
"88",2006,8,"mixed","SP",27,22,5
